MONDELEZ INTERNATIONAL MDLZ,MDLZ
MONSANTO CO MON,MON
MONSTER BEVERAGE CORP MNST,MNST
MOODYS CORP MCO,MCO
MORGAN STANLEY MS,MS
MORNINGSTAR INC MORN,MORN
MOSAIC COMPANY MOS,MOS
MOTOROLA SOLUTIONS INC MSI,MSI
MSC INDL DIRECT INC MSM,MSM
MSCI INC MSCI,MSCI
MURPHY OIL CORP MUR,MUR
MURPHY USA INC MUSA,MUSA
MYLAN NV MYL,MYL
NABORS INDUSTRIES LTD NBR,NBR
NASDAQ INC NDAQ,NDAQ
NATIONAL FUEL GAS CO NFG,NFG
NATIONAL INSTRS CORP NATI,NATI
NATIONAL OILWELL VARCO NOV,NOV
NATIONAL RETAIL PPTYS NNN,NNN
NAVIENT CORPORATION NAVI,NAVI
NCR CORP NCR,NCR
NETAPP INC NTAP,NTAP
NETFLIX INC NFLX,NFLX
NEUROCRINE BIOSCIENCES NBIX,NBIX
NEW RESIDENTIAL INVT NRZ,NRZ
NEW YORK CMNTY BANCORP NYCB,NYCB
NEWELL BRANDS INC NWL,NWL
NEWFIELD EXPLORATION CO NFX,NFX
NEWMARKET CORPORATION NEU,NEU
NEWMONT MINING CORP NEM,NEM
NEWS CORP CL A NWSA,NWSA
NEWS CORP CL B NWS,NWS
NEXTERA ENERGY INC NEE,NEE
NIELSEN HOLDINGS PLC NLSN,NLSN
METLIFE INC MET,MET
METTLER TOLEDO INTL INC MTD,MTD
MFA FINANCIAL INC MFA,MFA
MGM RESORTS INTL MGM,MGM
MICHAEL KORS HLDGS LTD KORS,KORS
NORTHERN TRUST CORP NTRS,NTRS
NORTHROP GRUMMAN CORP NOC,NOC
NORWEGIAN CRUISE LINE NCLH,NCLH
NRG ENERGY INC NRG,NRG
NU SKIN ENTERPRISES NUS,NUS
NUANCE COMMUNICATIONS NUAN,NUAN
NUCOR CORP NUE,NUE
NVIDIA CORP NVDA,NVDA
NVR INC NVR,NVR
NXP SEMICONDUCTORS NV NXPI,NXPI
O REILLY AUTOMOTIVE INC ORLY,ORLY
OCCIDENTAL PETE CORP OXY,OXY
OCEANEERING INTL INC OII,OII
OGE ENERGY CORP OGE,OGE
OLD DOMINION FREIGHT ODFL,ODFL
OLD REPUBLIC INTL CORP ORI,ORI
OLIN CORP OLN,OLN
OMEGA HEALTHCARE INVS OHI,OHI
OMNICOM GROUP INC OMC,OMC
ON SEMICONDUCTOR CORP ON,ON
ONEMAIN HOLDINGS INC OMF,OMF
ONEOK INC OKE,OKE
OPKO HEALTH INC OPK,OPK
ORACLE CORP ORCL,ORCL
ORBITAL ATK INC OA,OA
OSHKOSH CORP OSK,OSK
OUTFRONT MEDIA INC OUT,OUT
OWENS CORNING OC,OC
OWENS ILLINOIS INC OI,OI
PACCAR INC PCAR,PCAR
PACKAGING CORP OF AMER PKG,PKG
PACWEST BANCORP PACW,PACW
PALO ALTO NETWORKS INC PANW,PANW
PANDORA MEDIA INC P,P
PANERA BREAD CO PNRA,PNRA
PARAMOUNT GROUP INC PGRE,PGRE
PARK HOTELS & RESORTS PK,PK
PARKER HANNIFIN CORP PH,PH
PARSLEY ENERGY INC PE,PE
PATHEON NV PTHN,PTHN
PATTERSON COS INC PDCO,PDCO
PATTERSON UTI ENERGY PTEN,PTEN
PAYCHEX INC PAYX,PAYX
NIKE INC NKE,NKE
NISOURCE INC NI,NI
NOBLE ENERGY INC NBL,NBL
NORDSON CORP NDSN,NDSN
NORDSTROM INC JWN,JWN
NORFOLK SOUTHERN CORP NSC,NSC
PERKINELMER INC PKI,PKI
PERRIGO CO PLC PRGO,PRGO
PFIZER INC PFE,PFE
PG&E CORP PCG,PCG
PHILIP MORRIS INTL PM,PM
PHILLIPS 66 PSX,PSX
PIEDMONT OFFICE RLTY TR PDM,PDM
